0.011994,-0.28047,0.052256,-0.49067,0.41667,0.66667,0
0.0069257,0.058788,0.049283,-0.081219,0,1,0
-0.062475,0.63806,-0.096611,0.10961,0.66667,0,0
-0.018758,0.23846,-0.026837,-0.27135,0.41667,0.75,0
0.0047114,-0.36577,0.0063412,-0.25037,1,0.33333,0
-0.017487,-0.27866,-0.031728,-0.38257,1,0,1
0.0024834,-0.30919,-0.025973,-0.54393,0.41667,0.083333,1
-0.028061,-0.2722,-0.07599,-0.22193,0.5,0.75,0
-0.014398,-0.022457,-0.0044072,-0.46636,0.66667,0.83333,0
0.0013774,-0.14904,0.016309,0.51624,0.25,0.33333,0
-0.01355,-0.16245,0.0066836,-0.17777,0.16667,0.66667,0
0,-0.20171,-0.019034,-0.18958,0.5,0.16667,0
-0.037688,1.0275,-0.041302,0.023251,1,0,0
-0.026759,0.19415,-0.033623,-0.33823,1,0,0
-0.0093708,-0.32545,0.025523,0.047811,0,0.83333,0
-0.009901,-0.070421,-0.025522,-0.21005,0.58333,0.083333,0
0.0044543,0.097547,0.032627,-0.21474,0.41667,1,0
-0.051181,-0.08786,-0.11614,-0.2693,0.58333,0,1
0.10235,1.4699,-0.028542,0.65907,0.66667,0.083333,1
0.020776,-0.28848,-0.019512,-0.37749,0.66667,0.083333,1
0.047361,1.4197,0.0081407,0.33405,0.83333,0.25,0
0.035587,1.6824,0.042492,1.4768,0,0.25,0
-0.064304,1.5019,-0.070202,0.47543,0.83333,0,0
0.013684,-0.06854,0.09194,0.24635,0.16667,1,0
-0.021066,0.2907,-0.017209,-0.16429,0.41667,0.58333,0
0.014347,0.020942,-0.042654,-0.050667,1,0.16667,1
-0.040633,-0.34227,0.0076674,-0.32844,0.58333,1,0
-0.02863,-0.36474,-0.044266,-0.10871,0.58333,0.25,0
0.005814,-0.074791,-0.031394,-0.43092,1,0.5,0
-0.040497,0.86129,-0.050875,-0.0021139,0.83333,0,0
-0.032446,-0.49009,-0.012964,0.025515,0.083333,0.16667,0
0.015674,-0.17952,-0.044436,-0.4159,1,0,1
0.0037037,-0.27543,-0.035444,-0.52615,1,0.083333,1
-0.0061501,0.27198,-0.033926,-0.35943,0.91667,0.16667,1
0.016489,-0.29391,-0.021856,-0.42474,1,0.16667,0
-0.066109,0.16062,-0.12547,-0.4696,0.66667,1,0
-0.022843,0.055001,-0.015065,0.10594,0.75,0,0
0.04086,-0.17557,-0.083333,-0.43866,0.5,0.083333,0
0.038388,1.857,0.029332,1.0924,0.5,0.91667,0
0.041837,0.30578,0.033575,-0.28118,0.58333,0.75,1
0.019589,0.35253,0.04825,-0.0014023,0.66667,0.83333,1
0.0022779,-0.35725,-0.036145,-0.48611,0.91667,0.16667,0
-0.021191,-0.39426,-0.024451,-0.50688,0.66667,0.91667,0
0.016043,-0.24396,0.0049285,-0.32664,0.75,0.16667,0
0.0029254,0.3606,-0.011177,-0.176,0.66667,0.083333,0
0.0098414,0.40396,0.016651,-0.20152,0.33333,1,0
-0.064516,-0.11874,-0.14339,-0.37064,0.58333,0,1
